"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Clients\salam hack\fintich\src\app\admin\_components\admin-sidebar.tsx", "TypeScript JSX", 0, 68, 0, 0, 4, 72
"d:\Clients\salam hack\fintich\src\app\admin\_hooks\use-admin.ts", "TypeScript", 31, 0, 0, 0, 4, 35
"d:\Clients\salam hack\fintich\src\app\admin\disputes\[id]\page.tsx", "TypeScript JSX", 0, 150, 0, 0, 15, 165
"d:\Clients\salam hack\fintich\src\app\admin\disputes\page.tsx", "TypeScript JSX", 0, 75, 0, 3, 9, 87
"d:\Clients\salam hack\fintich\src\app\admin\layout.tsx", "TypeScript JSX", 0, 38, 0, 1, 4, 43
"d:\Clients\salam hack\fintich\src\app\admin\page.tsx", "TypeScript JSX", 0, 90, 0, 3, 11, 104
"d:\Clients\salam hack\fintich\src\app\admin\projects\[id]\page.tsx", "TypeScript JSX", 0, 200, 0, 2, 10, 212
"d:\Clients\salam hack\fintich\src\app\admin\projects\page.tsx", "TypeScript JSX", 0, 37, 0, 0, 9, 46
"d:\Clients\salam hack\fintich\src\app\admin\users\page.tsx", "TypeScript JSX", 0, 49, 0, 0, 8, 57
"d:\Clients\salam hack\fintich\src\app\admin\withdrawals\page.tsx", "TypeScript JSX", 0, 92, 0, 0, 8, 100
"d:\Clients\salam hack\fintich\src\app\api\admin\disputes\route.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"d:\Clients\salam hack\fintich\src\app\api\admin\projects\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\Clients\salam hack\fintich\src\app\api\admin\stats\route.ts", "TypeScript", 29, 0, 0, 1, 6, 36
"d:\Clients\salam hack\fintich\src\app\api\admin\users\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\Clients\salam hack\fintich\src\app\api\admin\withdrawals\route.ts", "TypeScript", 62, 0, 0, 1, 13, 76
